INFO  | 2019-01-27 15:57:17 | Order Window 1 | Order 5      | 2 x McChicken was brought!
INFO  | 2019-01-27 15:57:17 |                | Order 5      | Status: ready
INFO  | 2019-01-27 15:57:17 | Order Window 1 | Order 5      | Thank you for your order! Have a nice day!
INFO  | 2019-01-27 15:57:17 | Order Window 1 | Order 11     | Hello! Make your order please!
INFO  | 2019-01-27 15:57:17 | Order Window 2 | Order 8      | 1 x McFlurry was brought!
INFO  | 2019-01-27 15:57:19 | Order Window 1 | Order 11     | 2 x Coca Cola 4.4
INFO  | 2019-01-27 15:57:20 | Order Window 3 | Order 7      | 1 x French Fries was brought!
INFO  | 2019-01-27 15:57:20 |                | Order 7      | Status: ready
INFO  | 2019-01-27 15:57:20 | Order Window 3 | Order 7      | Thank you for your order! Have a nice day!
INFO  | 2019-01-27 15:57:20 | Order Window 4 | Order 9      | 2 x McFlurry was brought!
INFO  | 2019-01-27 15:57:20 | Order Window 3 | Order 12     | Hello! Make your order please!
INFO  | 2019-01-27 15:57:20 |                | Pre-order 10 | 1 x McFlurry was packaged!
INFO  | 2019-01-27 15:57:21 | Order Window 2 | Order 8      | 2 x French Fries was brought!
INFO  | 2019-01-27 15:57:21 | Order Window 1 | Order 11     | 2 x McChicken 8.6
INFO  | 2019-01-27 15:57:22 | Order Window 4 | Order 9      | 2 x McChicken was brought!
INFO  | 2019-01-27 15:57:22 | Order Window 3 | Order 12     | 2 x Hamburger 3.6
INFO  | 2019-01-27 15:57:23 | Order Window 2 | Order 8      | 1 x Hamburger was brought!
INFO  | 2019-01-27 15:57:23 | Order Window 1 | Order 11     | 1 x French Fries 3.0
INFO  | 2019-01-27 15:57:23 |                | Pre-order 10 | 2 x Coca Cola was packaged!
INFO  | 2019-01-27 15:57:23 |                | Pre-order 10 | Status: ready
INFO  | 2019-01-27 15:57:23 | Order Window 2 | Pre-order 10 | Thank you for your order! Have a nice day!
INFO  | 2019-01-27 15:57:23 |                | Pre-order 13 | 1 x Hamburger 1.8
INFO  | 2019-01-27 15:57:23 |                | Pre-order 13 | 3 x Coca Cola 6.6
INFO  | 2019-01-27 15:57:23 |                | Pre-order 13 | 2 x French Fries 6.0
INFO  | 2019-01-27 15:57:23 |                | Pre-order 13 | 2 x McFlurry 6.0
INFO  | 2019-01-27 15:57:23 |                | Pre-order 13 | Total price: 20.4
INFO  | 2019-01-27 15:57:23 |                | Pre-order 13 | Status: packaging
INFO  | 2019-01-27 15:57:24 | Order Window 4 | Order 9      | 2 x Hamburger was brought!
INFO  | 2019-01-27 15:57:24 | Order Window 3 | Order 12     | 3 x Coca Cola 6.6
INFO  | 2019-01-27 15:57:25 | Order Window 1 | Order 11     | 1 x McFlurry 3.0
INFO  | 2019-01-27 15:57:25 | Order Window 1 | Order 11     | Total price: 19.0
